SessionID,Start Time,End Time,# of Users,User ID,Gender,Is Child,
10032013074837,2013-03-10 07:48:29,2013-03-10 07:49:30,2,543,Unknown,True,
10032013074837,2013-03-10 07:48:29,2013-03-10 07:49:30,2,612,Male,True,
10032013074930,2013-03-10 07:49:30,2013-03-10 07:50:30,1,612,Unknown,False,
10032013075030,2013-03-10 07:50:30,2013-03-10 07:51:30,1,612,Male,False,
10032013075132,2013-03-10 07:51:30,2013-03-10 07:52:30,1,612,Male,False,
10032013075233,2013-03-10 07:52:30,2013-03-10 07:53:30,1,612,Male,False,
10032013075333,2013-03-10 07:53:30,2013-03-10 07:54:30,1,612,Male,False,
10032013075433,2013-03-10 07:54:30,2013-03-10 07:55:30,1,612,Male,False,
10032013075533,2013-03-10 07:55:30,2013-03-10 07:56:30,1,612,Male,False,
10032013080631,2013-03-10 08:06:31,2013-03-10 08:07:31,1,835,Male,True,
10032013080931,2013-03-10 08:09:31,2013-03-10 08:10:31,1,1026,Male,False,
10032013081031,2013-03-10 08:10:31,2013-03-10 08:11:31,1,1026,Male,False,
10032013081133,2013-03-10 08:11:31,2013-03-10 08:12:31,1,1026,Male,False,
10032013081233,2013-03-10 08:12:31,2013-03-10 08:13:31,1,1026,Male,False,
10032013081333,2013-03-10 08:13:31,2013-03-10 08:14:31,1,1026,Female,False,
10032013081433,2013-03-10 08:14:31,2013-03-10 08:15:31,1,1026,Male,False,
